sample_id,bio01_temp,bio12_precip,bio15_precip_season,elevation,landforms,soil_clay,soil_oc,soil_ph,label
3448_0,93.0,418.0,66.0,1266,32,14,2,73,1
3449_0,138.0,1317.0,81.0,937,32,21,7,57,1
3464_0,164.0,824.0,79.0,189,32,24,2,72,1
3468_0,80.0,1143.0,75.0,1496,33,14,18,56,1
3473_0,156.0,417.0,88.0,3,34,25,3,72,1
3482_0,142.0,1379.0,83.0,542,31,17,7,56,1
3488_0,115.0,1615.0,81.0,994,41,24,8,57,1
3523_0,107.0,731.0,78.0,1073,22,21,8,55,1
3529_0,157.0,469.0,91.0,8,34,24,4,70,1
3532_0,160.0,462.0,87.0,4,34,35,4,74,1
3576_0,169.0,722.0,72.0,163,32,21,2,72,1
3578_0,162.0,481.0,86.0,18,24,26,2,76,1
3595_0,155.0,514.0,83.0,216,41,37,2,70,1
3613_0,160.0,466.0,87.0,25,34,17,2,68,1
3617_0,78.0,1200.0,76.0,1729,21,6,12,55,1
3620_0,169.0,965.0,78.0,139,34,23,2,73,1
3647_0,158.0,628.0,92.0,114,31,29,3,74,1
3652_0,158.0,437.0,86.0,16,24,26,2,76,1
3660_0,96.0,893.0,75.0,1324,22,16,9,57,1
3679_0,72.0,1152.0,73.0,1775,22,10,16,52,1
3680_0,162.0,628.0,83.0,157,11,16,2,71,1
3685_0,158.0,471.0,88.0,14,24,29,2,76,1
3688_0,163.0,579.0,83.0,26,34,38,5,70,1
3689_0,164.0,569.0,83.0,24,24,21,3,66,1
3693_0,159.0,436.0,86.0,24,34,31,2,76,1
3704_0,163.0,455.0,86.0,15,34,24,2,72,1
3706_0,168.0,600.0,77.0,90,24,24,2,73,1
3710_0,87.0,995.0,77.0,1355,21,17,10,58,1
3721_0,158.0,448.0,88.0,5,24,23,2,77,1
3724_0,109.0,1472.0,79.0,1381,32,22,8,62,1
3745_0,141.0,993.0,91.0,502,11,24,5,53,1
3746_0,155.0,568.0,88.0,219,32,27,2,74,1
3752_0,74.0,1102.0,72.0,1545,21,15,12,58,1
3755_0,162.0,794.0,74.0,292,41,22,3,71,1
3773_0,162.0,419.0,81.0,74,22,18,2,66,1
3781_0,157.0,540.0,88.0,118,34,24,3,71,1
3785_0,68.0,1316.0,75.0,1872,31,12,15,53,1
3833_0,166.0,859.0,79.0,182,34,21,2,70,1
3834_0,161.0,505.0,87.0,72,21,25,2,71,1
3838_0,93.0,814.0,75.0,1220,41,16,7,64,1
3853_0,63.0,1047.0,63.0,1768,31,11,11,58,1
3883_0,53.0,847.0,59.0,1956,22,9,10,59,1
3887_0,158.0,457.0,87.0,5,34,35,3,77,1
3898_0,160.0,598.0,85.0,139,34,20,2,71,1
3909_0,157.0,659.0,85.0,275,11,24,2,61,1
3910_0,156.0,409.0,82.0,11,34,24,2,72,1
3914_0,138.0,1296.0,80.0,927,41,24,8,55,1
3938_0,163.0,485.0,88.0,22,41,25,3,74,1
3946_0,60.0,952.0,69.0,1961,21,12,10,57,1
3954_0,154.0,392.0,88.0,56,22,29,3,68,1
3958_0,141.0,1475.0,83.0,784,12,24,7,52,1
3994_0,162.0,464.0,88.0,19,24,27,2,72,1
3995_0,63.0,746.0,60.0,1778,34,11,8,58,1
3997_0,76.0,424.0,56.0,1539,31,12,2,73,1
4003_0,104.0,1427.0,82.0,1278,21,20,9,52,1
4007_0,146.0,608.0,89.0,377,41,27,4,70,1
4010_0,63.0,846.0,64.0,1772,21,11,11,58,1
