sample_id,bio01_temp,bio12_precip,bio15_precip_season,elevation,landforms,soil_clay,soil_oc,soil_ph,label
33375_0,149.0,1243.0,18.0,76,34,19,2,60,1
33401_0,171.0,1329.0,21.0,40,34,42,4,61,2
33402_0,148.0,1226.0,18.0,80,34,12,2,64,1
33407_0,168.0,1379.0,21.0,46,24,42,3,58,3
33408_0,156.0,1220.0,18.0,73,41,27,3,61,3
33425_0,150.0,1241.0,18.0,74,34,35,3,67,5
33428_0,171.0,1333.0,20.0,48,24,25,6,65,3
33460_0,160.0,1277.0,20.0,66,24,13,2,59,3
33484_0,155.0,1207.0,18.0,80,34,36,4,61,5
33485_0,165.0,1325.0,20.0,48,34,33,2,61,5
33493_0,161.0,1264.0,19.0,60,24,22,2,56,1
33505_0,169.0,1320.0,20.0,51,24,23,5,55,3
33517_0,159.0,1304.0,20.0,91,41,14,2,53,2
33518_0,167.0,1283.0,19.0,59,24,27,3,58,5
33526_0,133.0,1147.0,16.0,204,31,15,2,59,99
33549_0,161.0,1287.0,21.0,55,34,28,33,68,5
33568_0,162.0,1267.0,20.0,59,24,29,9,66,1
33570_0,167.0,1323.0,20.0,41,34,31,4,65,5
33574_0,149.0,1218.0,17.0,86,34,21,2,62,3
33577_0,161.0,1265.0,19.0,60,24,18,2,57,5
33595_0,150.0,1250.0,18.0,74,34,16,2,59,99
33613_0,154.0,1205.0,18.0,78,24,19,2,58,3
33620_0,133.0,1157.0,16.0,212,41,14,4,56,5
33635_0,160.0,1245.0,19.0,64,24,25,2,57,5
33652_0,160.0,1303.0,20.0,103,21,18,3,55,99
33673_0,161.0,1255.0,20.0,66,24,14,3,57,5
33676_0,161.0,1259.0,20.0,66,24,19,2,59,1
33684_0,169.0,1382.0,21.0,40,24,23,2,58,2
33690_0,166.0,1348.0,20.0,52,24,17,2,59,5
33699_0,158.0,1401.0,20.0,130,24,12,3,49,3
33700_0,166.0,1337.0,20.0,57,34,26,7,65,2
33725_0,172.0,1331.0,21.0,40,24,29,2,59,3
33736_0,152.0,1207.0,17.0,78,41,24,2,59,5
33738_0,161.0,1324.0,21.0,77,41,18,2,57,1
33751_0,168.0,1375.0,21.0,45,24,23,2,61,1
33810_0,153.0,1251.0,19.0,71,24,14,2,61,5
33816_0,169.0,1387.0,21.0,39,41,15,2,58,3
33817_0,168.0,1380.0,21.0,45,34,18,2,60,5
33821_0,173.0,1387.0,22.0,39,34,35,2,59,3
33825_0,143.0,1213.0,16.0,126,31,18,3,55,99
33859_0,152.0,1208.0,18.0,77,41,16,2,66,3
33860_0,148.0,1223.0,19.0,82,24,13,2,59,1
33883_0,159.0,1324.0,20.0,119,24,21,2,52,5
33907_0,174.0,1384.0,21.0,37,41,26,4,57,99
33908_0,156.0,1268.0,19.0,72,24,29,4,64,3
33909_0,162.0,1278.0,20.0,53,24,17,2,59,5
33930_0,163.0,1265.0,20.0,59,34,24,6,63,5
33942_0,148.0,1221.0,17.0,181,31,14,4,53,5
33960_0,161.0,1258.0,20.0,55,34,26,4,58,1
33968_0,142.0,1196.0,16.0,122,31,18,2,60,5
33969_0,155.0,1277.0,19.0,85,24,23,3,58,5
33989_0,155.0,1249.0,19.0,69,34,17,3,58,5
33998_0,162.0,1294.0,20.0,86,34,26,4,59,5
34010_0,160.0,1228.0,19.0,72,34,23,2,59,99
34011_0,160.0,1269.0,20.0,65,34,34,6,61,3
34013_0,154.0,1249.0,19.0,73,24,12,2,61,99
34022_0,173.0,1385.0,22.0,32,34,32,3,60,5
