sample_id,bio01_temp,bio12_precip,bio15_precip_season,elevation,landforms,soil_clay,soil_oc,soil_ph,label
8981_0,6.7,949.0,76.0,2112,31,7,10,6.3,1
8982_0,11.8,921.0,82.0,1135,21,17,6,6.0,1
9099_0,16.3,589.0,83.0,496,22,16,2,6.7,1
9117_0,17.7,181.0,76.0,132,34,23,2,7.8,1
9147_0,14.6,754.0,82.0,732,22,14,4,6.3,1
9188_0,19.3,209.0,78.0,227,32,29,4,7.8,1
9221_0,14.5,389.0,88.0,430,41,29,3,7.2,1
9288_0,17.2,181.0,81.0,91,34,30,3,7.3,1
9308_0,14.1,500.0,86.0,755,21,29,3,6.2,1
9322_0,12.9,534.0,86.0,871,21,23,4,7.1,1
9326_0,16.3,193.0,79.0,118,24,26,2,7.8,1
9335_0,15.4,406.0,81.0,926,22,13,2,6.9,1
9338_0,17.3,545.0,82.0,368,31,16,3,6.9,1
9360_0,16.5,256.0,82.0,26,24,35,6,7.2,1
9362_0,13.1,894.0,82.0,1136,32,21,7,6.3,1
9402_0,19.0,204.0,77.0,185,34,24,3,7.8,1
9405_0,16.3,395.0,82.0,84,31,20,4,6.7,1
9423_0,16.4,279.0,82.0,39,24,30,2,7.4,1
9431_0,17.1,261.0,82.0,101,24,23,2,7.4,1
9441_0,14.1,531.0,89.0,593,31,21,3,6.8,1
9443_0,1.4,645.0,60.0,2945,32,6,10,5.5,1
9445_0,16.5,195.0,79.0,54,34,27,2,7.9,1
9455_0,16.8,197.0,80.0,182,21,30,3,7.4,1
9507_0,17.0,219.0,82.0,78,34,18,2,7.3,1
9514_0,17.0,284.0,83.0,96,41,19,2,8.1,1
9528_0,16.5,311.0,82.0,93,24,22,2,7.4,1
9533_0,16.5,238.0,84.0,33,34,23,2,7.6,1
9562_0,14.8,423.0,87.0,518,21,24,2,7.2,1
9566_0,7.1,882.0,78.0,2200,22,2,8,5.8,1
9584_0,17.0,269.0,83.0,93,24,20,2,7.6,1
9646_0,13.3,489.0,86.0,784,31,22,4,7.1,1
9727_0,17.0,195.0,80.0,61,34,22,2,7.8,1
9731_0,17.4,229.0,78.0,98,34,17,2,7.8,1
9775_0,13.6,515.0,85.0,921,22,24,5,7.3,1
9786_0,14.8,463.0,88.0,668,34,24,2,7.3,1
9842_0,16.0,465.0,82.0,268,21,28,6,5.9,1
9843_0,17.4,205.0,81.0,212,32,24,1,7.6,1
9858_0,17.4,166.0,86.0,57,24,28,3,7.7,1
9878_0,17.1,302.0,80.0,106,24,20,2,7.8,1
9924_0,18.0,263.0,80.0,361,31,22,2,7.2,1
9975_0,16.3,396.0,81.0,99,22,22,3,7.4,1
10036_0,15.3,373.0,86.0,495,21,32,3,6.7,1
10039_0,14.0,818.0,82.0,894,31,18,6,6.0,1
