sample_id,bio01_temp,bio12_precip,bio15_precip_season,elevation,landforms,soil_clay,soil_oc,soil_ph,label
1503_0,15.4,1221.0,18.0,72,34,19,2,6.1,5
1511_0,14.9,1196.0,17.0,124,21,16,2,5.7,3
1535_0,17.3,1389.0,22.0,38,34,21,2,6.0,5
1544_0,16.2,1277.0,20.0,53,24,17,2,5.7,3
1555_0,16.0,1260.0,20.0,64,34,24,2,6.3,3
1557_0,16.8,1360.0,21.0,45,34,44,4,5.9,5
1559_0,16.1,1267.0,19.0,57,24,18,2,6.0,2
1575_0,16.9,1334.0,21.0,42,24,29,2,5.9,3
1608_0,16.4,1343.0,20.0,52,24,20,3,6.1,3
1618_0,17.0,1316.0,19.0,54,24,16,6,5.7,5
1621_0,17.4,1385.0,21.0,38,24,16,2,5.8,5
1629_0,16.3,1373.0,20.0,49,24,27,2,6.2,3
1634_0,13.7,1188.0,16.0,186,21,15,3,5.5,5
1664_0,16.4,1312.0,20.0,54,34,29,8,6.6,5
1710_0,15.8,1229.0,19.0,64,41,14,3,6.0,5
1719_0,15.5,1217.0,18.0,86,34,15,2,6.2,5
1726_0,17.1,1402.0,21.0,55,34,29,8,5.6,3
1757_0,16.0,1315.0,20.0,94,41,28,4,5.7,5
1769_0,17.2,1399.0,22.0,38,24,20,2,5.8,99
1793_0,16.5,1261.0,20.0,59,34,28,2,6.5,3
1798_0,16.4,1350.0,20.0,48,24,27,4,6.0,3
1799_0,16.9,1395.0,21.0,42,24,18,2,5.8,3
1821_0,16.8,1315.0,20.0,54,24,20,5,6.4,5
1823_0,16.8,1300.0,19.0,57,24,19,2,5.6,99
1836_0,17.0,1395.0,21.0,38,34,16,3,5.8,2
1846_0,15.4,1256.0,19.0,70,24,25,3,6.3,3
1857_0,14.0,1186.0,16.0,195,21,15,4,5.6,5
1871_0,16.2,1289.0,19.0,92,24,26,2,5.4,5
1872_0,16.7,1269.0,19.0,60,41,21,2,5.8,5
1874_0,16.0,1294.0,21.0,60,24,29,3,5.9,3
1877_0,15.7,1216.0,18.0,75,24,23,2,5.8,5
1886_0,16.8,1359.0,21.0,42,24,40,9,5.9,2
1890_0,15.6,1246.0,19.0,70,24,18,2,6.0,3
